"Date","Comp","Negative","Neutral","Positive"
"2017-11-03","0.974","0.018","0.776","0.206"
"2017-11-04","0.9","0.036","0.856","0.108"
"2017-11-05","0.987","0.036","0.778","0.187"
"2017-11-06","0.979","0.067","0.716","0.216"
"2017-11-07","0.818","0.077","0.793","0.13"
"2017-11-08","0.904","0.053","0.829","0.118"
"2017-11-09","0.751","0.025","0.888","0.087"
"2017-11-10","0.964","0.081","0.761","0.158"
"2017-11-11","0.997","0.035","0.758","0.207"
"2017-11-12","0.647","0.076","0.822","0.102"
"2017-11-13","0.967","0.023","0.81","0.167"
"2017-11-14","0.746","0.037","0.881","0.082"
"2017-11-15","0.906","0.035","0.854","0.11"
"2017-11-16","0.968","0.059","0.776","0.164"
"2017-11-17","0.937","0.057","0.814","0.129"
"2017-11-18","0.981","0","0.813","0.187"
"2017-11-19","0.952","0.016","0.821","0.163"
"2017-11-20","0.957","0.049","0.827","0.123"
"2017-11-21","0.861","0.122","0.705","0.173"
"2017-11-22","0.993","0.06","0.646","0.293"
"2017-11-23","0.976","0.066","0.742","0.192"
"2017-11-24","0.974","0.024","0.824","0.153"
"2017-11-25","-0.58","0.106","0.796","0.097"
"2017-11-26","0.993","0.037","0.74","0.223"
"2017-11-27","0.884","0.088","0.774","0.138"
"2017-11-28","0.494","0.076","0.834","0.089"
"2017-11-29","0.959","0.049","0.811","0.141"
"2017-11-30","-0.681","0.081","0.854","0.065"
"2017-12-01","0.844","0.079","0.804","0.117"
"2017-12-02","0.965","0.035","0.835","0.13"
"2017-12-03","0.927","0.027","0.875","0.097"
"2017-12-04","0.961","0.01","0.875","0.115"
"2017-12-05","-0.873","0.129","0.774","0.097"
"2017-12-06","0.72","0.057","0.849","0.094"
"2017-12-07","0.968","0.024","0.844","0.132"
"2017-12-08","0.961","0.039","0.83","0.13"
"2017-12-09","0.985","0.009","0.839","0.152"
"2017-12-10","0.985","0.012","0.79","0.198"
"2017-12-11","0.948","0.008","0.874","0.119"
"2017-12-12","0.556","0.049","0.877","0.074"
"2017-12-13","0.918","0.062","0.806","0.132"
"2017-12-14","0.459","0.067","0.834","0.098"
"2017-12-15","0.988","0.018","0.785","0.197"
"2017-12-16","0.981","0.052","0.811","0.137"
"2017-12-17","0.866","0.04","0.875","0.085"
"2017-12-18","0.977","0.044","0.759","0.197"
"2017-12-19","0.978","0.004","0.873","0.122"
"2017-12-20","0.948","0.06","0.787","0.153"
"2017-12-21","0.961","0.051","0.856","0.094"
"2017-12-22","0.933","0.031","0.834","0.134"
"2017-12-23","0.939","0.048","0.848","0.104"
"2017-12-24","0.985","0.047","0.694","0.259"
"2017-12-25","0.972","0.031","0.796","0.173"
"2017-12-26","0.995","0.007","0.738","0.255"
