"Date","Comp","Negative","Neutral","Positive"
"2017-11-22","-0.103","0.055","0.908","0.037"
"2017-11-23","0","0","1","0"
"2017-11-24","0.752","0.039","0.834","0.128"
"2017-11-25","-0.077","0.052","0.911","0.037"
"2017-11-26","0.398","0.132","0.725","0.143"
"2017-11-27","0.612","0.025","0.896","0.079"
"2017-11-28","0.421","0.091","0.797","0.112"
"2017-11-29","0.827","0.017","0.855","0.128"
"2017-11-30","0.886","0","0.9","0.1"
"2017-12-01","-0.727","0.068","0.932","0"
"2017-12-02","0.296","0.029","0.914","0.057"
"2017-12-03","0.9","0","0.817","0.183"
"2017-12-04","0.542","0.084","0.805","0.111"
"2017-12-05","0.933","0","0.762","0.238"
"2017-12-06","0.844","0","0.87","0.13"
"2017-12-07","0.742","0.034","0.879","0.087"
"2017-12-08","0.44","0","0.956","0.044"
"2017-12-09","0.494","0.036","0.872","0.091"
"2017-12-10","0.886","0","0.79","0.21"
"2017-12-11","-0.273","0.031","0.969","0"
"2017-12-12","0.886","0","0.87","0.13"
"2017-12-13","0.296","0","0.982","0.018"
"2017-12-14","-0.296","0.029","0.971","0"
"2017-12-15","0.881","0.085","0.742","0.172"
"2017-12-16","-0.34","0.122","0.75","0.128"
"2017-12-17","0.612","0","0.9","0.1"
"2017-12-18","0.959","0.028","0.729","0.243"
"2017-12-19","0.961","0.06","0.642","0.298"
"2017-12-20","0.906","0.041","0.8","0.158"
"2017-12-21","0.71","0.028","0.882","0.09"
"2017-12-22","-0.128","0.027","0.942","0.031"
"2017-12-23","0.923","0","0.827","0.173"
"2017-12-24","0.952","0.036","0.777","0.187"
"2017-12-25","0.612","0","0.922","0.078"
"2017-12-26","0.902","0","0.85","0.15"
"2017-12-27","0.947","0","0.881","0.119"
"2017-12-28","0.956","0.019","0.81","0.171"
"2017-12-29","0.927","0.013","0.858","0.129"
"2017-12-30","0.849","0.097","0.76","0.143"
"2017-12-31","0.44","0.029","0.904","0.067"
"2018-01-01","0.599","0","0.9","0.1"
"2018-01-02","0.743","0.034","0.846","0.12"
"2018-01-03","0.881","0","0.804","0.196"
"2018-01-04","0.926","0.036","0.787","0.177"
"2018-01-05","0.318","0.051","0.878","0.071"
"2018-01-06","0.951","0.046","0.74","0.213"
"2018-01-07","0.382","0","0.96","0.04"
"2018-01-08","-0.478","0.105","0.837","0.057"
"2018-01-09","0.852","0.115","0.661","0.224"
"2018-01-10","0.832","0.048","0.734","0.217"
"2018-01-11","0.931","0.048","0.831","0.122"
"2018-01-12","-0.44","0.064","0.907","0.029"
"2018-01-13","0.765","0.025","0.858","0.117"
"2018-01-14","0.896","0.04","0.826","0.134"
"2018-01-15","0.955","0","0.846","0.154"
"2018-01-16","0.572","0.031","0.899","0.07"
"2018-01-17","0.939","0","0.869","0.131"
"2018-01-18","0.66","0.079","0.781","0.14"
"2018-01-19","0.952","0.025","0.768","0.207"
"2018-01-20","0.822","0.054","0.793","0.154"
"2018-01-21","0.724","0.05","0.861","0.09"
"2018-01-22","0.848","0","0.842","0.158"
"2018-01-23","0.67","0","0.925","0.075"
"2018-01-24","0.869","0.042","0.78","0.178"
"2018-01-25","0.95","0.023","0.844","0.132"
"2018-01-26","0.71","0.089","0.761","0.149"
"2018-01-27","-0.273","0.099","0.825","0.076"
"2018-01-28","-0.908","0.13","0.85","0.02"
"2018-01-29","0.896","0.041","0.868","0.091"
"2018-01-30","0.83","0","0.876","0.124"
"2018-01-31","0.382","0.08","0.815","0.105"
"2018-02-01","-0.224","0.122","0.777","0.1"
"2018-02-02","0.807","0.014","0.916","0.07"
"2018-02-03","0.908","0.047","0.797","0.156"
"2018-02-04","0.625","0","0.902","0.098"
"2018-02-05","0.969","0.03","0.787","0.184"
"2018-02-06","-0.691","0.059","0.941","0"
"2018-02-07","0.778","0.052","0.825","0.124"
"2018-02-08","0.226","0.033","0.915","0.052"
"2018-02-09","-0.881","0.164","0.836","0"
"2018-02-10","-0.637","0.068","0.908","0.024"
"2018-02-11","0.963","0.02","0.776","0.204"
"2018-02-12","0.718","0","0.915","0.085"
"2018-02-13","0","0.04","0.919","0.04"
"2018-02-14","0.976","0","0.756","0.244"
"2018-02-15","0.919","0.034","0.81","0.156"
"2018-02-16","0.361","0.03","0.912","0.058"
"2018-02-17","0.971","0.018","0.774","0.208"
"2018-02-18","0.977","0.028","0.649","0.323"
"2018-02-19","0.934","0.082","0.729","0.189"
"2018-02-20","0.477","0","0.956","0.044"
"2018-02-21","0.859","0.024","0.846","0.13"
"2018-02-22","-0.361","0.038","0.962","0"
"2018-02-23","0.922","0","0.841","0.159"
"2018-02-24","-0.691","0.127","0.805","0.068"
"2018-02-25","0.954","0.027","0.769","0.204"
"2018-02-26","0.859","0","0.899","0.101"
"2018-02-27","0.969","0","0.636","0.364"
"2018-02-28","0.818","0.062","0.79","0.149"
"2018-03-01","0.708","0.047","0.862","0.09"
"2018-03-02","0.848","0.034","0.814","0.151"
"2018-03-03","0.637","0","0.938","0.062"
"2018-03-04","0.904","0","0.855","0.145"
