"Date","Comp","Negative","Neutral","Positive"
"2017-10-02","0.917","0","0.762","0.238"
"2017-10-03","0.912","0","0.819","0.181"
"2017-10-04","0.802","0.025","0.856","0.118"
"2017-10-05","0.912","0","0.737","0.263"
"2017-10-06","0.273","0.12","0.773","0.107"
"2017-10-07","0.494","0.055","0.864","0.082"
"2017-10-08","0.511","0","0.904","0.096"
"2017-10-09","0.946","0","0.631","0.369"
"2017-10-10","0.859","0.098","0.667","0.235"
"2017-10-11","0.511","0.018","0.92","0.062"
"2017-10-12","0.93","0","0.727","0.273"
"2017-10-13","0.962","0.02","0.759","0.221"
"2017-10-14","0.649","0","0.916","0.084"
"2017-10-15","0.967","0.041","0.688","0.271"
"2017-10-16","0.878","0.057","0.8","0.143"
"2017-10-17","0.881","0.04","0.739","0.22"
"2017-10-18","0.342","0.022","0.932","0.046"
"2017-10-19","-0.696","0.146","0.739","0.115"
"2017-10-20","0.835","0.112","0.658","0.23"
"2017-10-21","0.973","0","0.719","0.281"
"2017-10-22","0.985","0.06","0.546","0.394"
"2017-10-23","0.421","0.039","0.867","0.094"
"2017-10-24","0.93","0","0.784","0.216"
"2017-10-25","0.67","0.036","0.878","0.086"
"2017-10-26","0.71","0.022","0.866","0.113"
"2017-10-27","0.71","0","0.874","0.126"
"2017-10-28","0.977","0","0.711","0.289"
"2017-10-29","0.859","0","0.921","0.079"
"2017-10-30","0.296","0","0.965","0.035"
"2017-10-31","0","0.046","0.907","0.046"
"2017-11-01","0.92","0.055","0.715","0.23"
"2017-11-02","0.494","0.027","0.888","0.085"
"2017-11-03","0.423","0.074","0.813","0.112"
"2017-11-04","0.965","0","0.614","0.386"
"2017-11-05","-0.599","0.096","0.868","0.037"
"2017-11-06","0.943","0.03","0.655","0.315"
"2017-11-07","0.978","0","0.65","0.35"
"2017-11-08","-0.78","0.141","0.758","0.101"
"2017-11-09","0.775","0.068","0.767","0.165"
"2017-11-10","0.969","0.032","0.779","0.189"
"2017-11-11","0.979","0.019","0.817","0.164"
"2017-11-12","0.977","0.023","0.645","0.332"
"2017-11-13","-0.318","0.069","0.898","0.033"
"2017-11-14","0.926","0.058","0.694","0.247"
"2017-11-15","0.869","0","0.843","0.157"
"2017-11-16","0.925","0.039","0.856","0.105"
"2017-11-17","0.681","0","0.924","0.076"
"2017-11-18","0.972","0.082","0.618","0.3"
"2017-11-19","0.872","0.022","0.843","0.135"
