"Date","Comp","Negative","Neutral","Positive","Adj.Close"
"2018-01-08",0.848,0.03,0.843,0.127,41.3841590881348
"2018-01-09",0.955,0.063,0.745,0.192,41.3794136047363
"2018-01-10",0.962,0,0.7,0.3,41.3699073791504
"2018-01-11",0.9,0.024,0.821,0.155,41.6049041748047
"2018-01-12",0.026,0.054,0.89,0.056,42.0345306396484
"2018-01-16",0.967,0.069,0.614,0.317,41.8209037780762
"2018-01-17",0.891,0.072,0.655,0.273,42.5116271972656
"2018-01-18",-0.542,0.134,0.792,0.074,42.5496025085449
"2018-01-19",0.542,0.041,0.889,0.07,42.3597183227539
"2018-01-22",0.939,0.034,0.707,0.26,42.0131721496582
"2018-01-23",0.978,0,0.737,0.263,42.0226593017578
"2018-01-24",0.96,0,0.694,0.306,41.3533020019531
"2018-01-25",0.878,0.118,0.649,0.233,40.6150932312012
"2018-01-26",0.971,0.031,0.759,0.21,40.7100410461426
"2018-01-29",0.919,0.059,0.623,0.318,39.8674163818359
"2018-01-30",0.735,0.068,0.807,0.125,39.6324272155762
"2018-01-31",0.903,0.089,0.694,0.217,39.7416038513184
"2018-02-01",-0.44,0.088,0.912,0,39.8246765136719
"2018-02-02",-0.947,0.148,0.819,0.033,38.0966835021973
"2018-02-05",0.71,0,0.889,0.111,37.1448516845703
"2018-02-06",0.96,0.031,0.742,0.226,38.6972122192383
"2018-02-07",0.944,0,0.818,0.182,37.8688049316406
"2018-02-08",0.727,0.081,0.76,0.159,36.826789855957
"2018-02-09",0.963,0,0.762,0.238,37.2772369384766
"2018-02-12",0.925,0.082,0.634,0.284,38.7787170410156
"2018-02-13",0.946,0.023,0.758,0.219,39.1672019958496
"2018-02-14",-0.055,0.071,0.868,0.061,39.8893394470215
"2018-02-15",0.875,0.026,0.829,0.145,41.2287445068359
"2018-02-16",0.946,0.091,0.605,0.304,41.095287322998
"2018-02-20",-0.71,0.149,0.798,0.053,40.9570655822754
"2018-02-21",0.927,0.05,0.749,0.201,40.7711524963379
"2018-02-22",0.985,0,0.668,0.332,41.1119651794434
"2018-02-23",0.896,0.072,0.705,0.224,41.8269577026367
"2018-02-26",0.802,0,0.927,0.073,42.6539649963379
"2018-02-27",0.969,0,0.744,0.256,42.515739440918
"2018-02-28",0.933,0.021,0.732,0.246,42.4513931274414
"2018-03-01",0.917,0,0.848,0.152,41.7077980041504
"2018-03-02",0.791,0.072,0.782,0.147,41.9961776733398
"2018-03-05",0.955,0,0.759,0.241,42.1415596008301
"2018-03-06",-0.026,0.032,0.938,0.03,42.1058006286621
"2018-03-07",0.939,0.042,0.73,0.228,41.7149429321289
"2018-03-08",0.946,0.033,0.791,0.176,42.1701583862305
"2018-03-09",0.832,0,0.921,0.079,42.8946723937988
"2018-03-12",0.852,0.104,0.732,0.164,43.3093757629395
"2018-03-13",0.962,0,0.707,0.293,42.8923034667969
"2018-03-14",0.941,0,0.808,0.192,42.5276565551758
"2018-03-15",0.976,0.028,0.789,0.183,42.5776977539062
"2018-03-16",0.44,0.031,0.917,0.052,42.4275512695312
"2018-03-19",0.866,0.068,0.755,0.176,41.779296875
"2018-03-20",0.951,0.057,0.653,0.289,41.7649993896484
"2018-03-21",0.71,0.02,0.881,0.099,40.8188247680664
"2018-03-22",0.962,0,0.787,0.213,40.242073059082
"2018-03-23",0.971,0.022,0.702,0.277,39.3101959228516
"2018-03-26",0.976,0.039,0.688,0.273,41.1763305664062
"2018-03-27",0.869,0.058,0.71,0.232,40.1205253601074
"2018-03-28",0.7,0.024,0.88,0.097,39.6772193908691
"2018-03-29",0.976,0,0.617,0.383,39.9870567321777
"2018-04-02",0.024,0.104,0.799,0.097,39.7248916625977
"2018-04-03",0.919,0.026,0.825,0.149,40.1324424743652
"2018-04-04",-0.694,0.098,0.882,0.02,40.8998565673828
"2018-04-05",0.946,0,0.867,0.133,41.1834754943848
"2018-04-06",0.973,0,0.686,0.314,40.1300582885742
"2018-04-09",0.952,0,0.811,0.189,40.5280609130859
"2018-04-10",-0.681,0.066,0.934,0,41.2907180786133
"2018-04-11",0.993,0.023,0.704,0.273,41.0976676940918
"2018-04-12",0.974,0.015,0.724,0.261,41.5028305053711
"2018-04-13",-0.813,0.163,0.759,0.078,41.6434478759766
"2018-04-16",0.7,0,0.909,0.091,41.9032325744629
"2018-04-17",0.982,0.011,0.777,0.212,42.4799919128418
"2018-04-18",0.852,0.094,0.725,0.181,42.3846473693848
"2018-04-19",0.273,0,0.965,0.035,41.1834754943848
"2018-04-20",0.178,0.075,0.835,0.09,39.4960975646973
"2018-04-23",-0.581,0.094,0.829,0.078,39.3816795349121
"2018-04-24",0,0,1,0,38.8335418701172
"2018-04-25",0.98,0.092,0.673,0.234,39.0027465820312
"2018-04-26",0.914,0,0.798,0.202,39.138599395752
"2018-04-27",0.967,0,0.685,0.315,38.6857757568359
"2018-04-30",0.791,0.05,0.851,0.099,39.3864593505859
"2018-05-01",0.866,0.024,0.836,0.14,40.3016510009766
