"Date","Comp","Negative","Neutral","Positive"
"2018-09-10","0.852","0.021","0.868","0.111"
"2018-09-11","0.821","0.096","0.754","0.15"
"2018-09-12","-0.902","0.175","0.726","0.098"
"2018-09-13","0.542","0.078","0.827","0.095"
"2018-09-14","0.403","0.231","0.525","0.244"
"2018-09-15","-0.038","0.129","0.733","0.138"
"2018-09-16","-0.612","0.156","0.717","0.127"
"2018-09-17","0.052","0.057","0.882","0.061"
"2018-09-18","0.802","0.109","0.711","0.181"
"2018-09-19","0.699","0.147","0.683","0.17"
"2018-09-20","0.847","0.019","0.914","0.067"
"2018-09-21","0.318","0.131","0.738","0.132"
"2018-09-22","0.361","0","0.97","0.03"
"2018-09-23","-0.86","0.136","0.802","0.062"
"2018-09-24","-0.827","0.159","0.714","0.127"
"2018-09-25","0","0.128","0.744","0.128"
"2018-09-26","0.917","0.123","0.651","0.226"
"2018-09-27","0.897","0.087","0.748","0.165"
"2018-09-28","0.477","0.1","0.736","0.164"
"2018-09-29","0.862","0.055","0.756","0.189"
"2018-09-30","0.895","0.093","0.69","0.217"
"2018-10-01","0.392","0.088","0.797","0.115"
"2018-10-02","-0.385","0.121","0.78","0.098"
"2018-10-03","-0.691","0.168","0.734","0.098"
"2018-10-04","0.976","0.055","0.764","0.181"
"2018-10-05","-0.96","0.173","0.701","0.126"
"2018-10-06","0.965","0.056","0.781","0.163"
"2018-10-07","-0.796","0.131","0.763","0.106"
"2018-10-08","0.854","0.132","0.679","0.189"
"2018-10-09","0.822","0","0.929","0.071"
"2018-10-10","-0.122","0.181","0.633","0.185"
"2018-10-11","0.751","0.069","0.761","0.17"
"2018-10-12","0.762","0.101","0.776","0.122"
"2018-10-13","0.891","0.132","0.679","0.189"
